rank,shoe,price,ReleaseDate,SKU,Designer,Nickname,Colorway,MainColor,UpperMaterial,Technology,Category
159,Air Max 180 'Doernbecher 2025',182,2/14/25,IB3862 001,Benjamin Nethongkome,Black Label Pack,Black/Black/Alabaster/Red Stardust,Black,Textile,Zoom Air,Basketball
160,Air Force 1 '07 LE 'Year of the Snake',100,1/29/25,FZ1487 600,,Montebelluna,Port Wine/Bright Crimson,Red,FlyTouch Plus,,Cleat
161,Dunk Low 'St. John's' 2025,83,1/16/25,1172130 TPCL,,Love '25 Pack - Tropical Pink,Tropical Pink,Pink,Suede,EVA,Sandal
162,Zoom Kobe 5 Protro GS 'Year of the Mamba - Eggplant',136,1/1/25,FJ9487 500,Leo Chang,B.A.D.,Dusty Amethyst/Hydrangeas/Amethyst Tint,Purple,Mesh,Zoom Air,Basketball
163,Zoom KD 4 'Scoring Title' 2025,87,1/9/25,HM3753 500,Eric Avar,Year of the Mamba - Eggplant,Eggplant/Black/Metallic Gold,Purple,Synthetic,,Basketball
164,Wmns Air Max Muse 'Black Metallic Silver',139,1/31/25,1203A388 101,,Cream Deep Marine,Cream/Deep Marine,Cream,Mesh,Gel,Running
165,AE 1 Low 'Year of the Snake',127,1/23/25,HQ7000 001,Tinker Hatfield,Year of the Snake,Summit White/Football Grey/Black,Grey,Leather,Air,Lifestyle
166,Swaroski x Ja 2 'Black Label Pack - Scratch Bling',193,1/25/25,IB6059 920,Tinker Hatfield,Doernbecher 2025,Multi-Color/Multi-Color/Multi-Color,Multi-Color,Leather,Air,Lifestyle
167,Air Jordan 3 Retro PS 'Black Cat' 2025,76,1/16/25,1172170 JNT,,Love '25 Pack,Jasmine/Tropical Pink,Cream,Suede,EVA,Lifestyle
168,1906L 'Rich Oak Suede',191,2/22/25,IB1981 004,Peter Moore,Royal,Black/Royal/Summit White,Blue,Leather,Air,Lifestyle
169,Wmns Tazz Slipper 'Love '25 Pack - Tropical Pink',159,1/25/25,IB6070 920,,Doernbecher 2025,Multi-Color/Multi-Color/Multi-Color,Multi-Color,Mesh,Air,Lifestyle
170,Air Jordan 1 Mid SE 'Black Metallic Reimagined',94,2/1/25,FQ2174 601,Benjamin Nethongkome,Triple Double,Pink Foam/Black/Elemental Pink,Pink,Mesh,Zoom Air,Basketball
171,Teenage Mutant Ninja Turtles x MB.03 Lo 'Krang',152,1/24/25,FJ4249 105,Benjamin Nethongkome,Forrest Gump Cortez,White/Varsity Red/Varsity Blue,White,Leather,Zoom Air,Basketball
172,Wmns Air Jordan 5 Retro 'Golden Ticket',121,1/18/25,JS0646,,Year of the Snake,Core Black/Almost Pink/Lucid Fuchsia,Purple,TPU,Boost,Basketball
173,Monsters Inc. x Classic Cozzzy Sandal 'Sulley',74,1/15/25,JH7287,,Valentine's Day 2025,Bright Red/Cream White/Team Victory Red,Red,Leather,,Lifestyle
174,Wmns Sabrina 2 'Doernbecher 2025',208,1/20/25,HF1986 100,Peter Moore,Roses,Coconut Milk/University Red/Pale Ivory,Red,Suede,,Lifestyle
175,Air Max 1 Premium 'Valentine’s Day Pack - Playful Pink',105,1/1/25,IB8054 800,Benjamin Nethongkome,Sedona,Bubblegum/White Onyx/Red Stardust,Orange,Canvas,Zoom Air,Basketball
176,AE 1 Low 'Best of Adi 2.0',72,2/22/25,311327 01,,Krang,Ultra Violet/Fast Pink/Speed Yellow,Purple,Mesh,Nitro Foam,Basketball
177,Wmns Air Force 1 '07 'White Roses',117,1/16/25,1172130 AYT,,Love '25 Pack - Arroyo Tropical Pink,Arroyo/Tropical Pink,Tan,Suede,EVA,Sandal
178,Air Jordan 3 Retro GS 'Lucky Shorts',92,1/25/25,IB6096 920,,Doernbecher 2025,Multi-Color/Multi-Color/Multi-Color,Multi-Color,Mesh,ReactX,Running
179,Air Jordan 5 Retro OG TD 'Black Metallic Reimagined',110,1/16/25,U993JJ,,Mushroom,Military Urban Grey/Angora,Grey,Suede,ABZORB,Lifestyle
180,Wmns Cortez 'Valentine's Day 2025',106,1/18/25,HM3753 600,Eric Avar,Year of the Mamba - University Red,University Red/Black/Metallic Gold,Red,Synthetic,,Basketball
181,1906A 'Deep Blue',169,1/10/25,FV1920 001,,Black Metallic Silver,Black/Metallic Silver,Black,Synthetic,Air,Lifestyle
182,Air Jordan 1 Retro Low OG 'Rookie of the Year',174,1/8/25,HV5171 121,,Valentine's Day 2025,Summit White/Light Crimson/Pink Foam/Dark Team Red/Fire Red,White,Mesh,Cushlon,Running
